,date,tvl_usd
1261,2024-10-01 00:00:00,9680302160.92046
1262,2024-10-02 00:00:00,9208303851.51722
1263,2024-10-03 00:00:00,9057866507.97128
1264,2024-10-04 00:00:00,8996365619.58252
1265,2024-10-05 00:00:00,9260480139.0409
1266,2024-10-06 00:00:00,9233065845.28251
1267,2024-10-07 00:00:00,9298040508.11199
1268,2024-10-08 00:00:00,9252134895.80983
1269,2024-10-09 00:00:00,9196212703.98664
1270,2024-10-10 00:00:00,9051126240.34336
1271,2024-10-11 00:00:00,9101855346.41031
1272,2024-10-12 00:00:00,9346737417.98138
1273,2024-10-13 00:00:00,9596483279.325
1274,2024-10-14 00:00:00,9568479240.25813
1275,2024-10-15 00:00:00,10127074601.77087
1276,2024-10-16 00:00:00,10065284844.35611
1277,2024-10-17 00:00:00,10099724778.07793
1278,2024-10-18 00:00:00,10193612419.36187
1279,2024-10-19 00:00:00,10281096113.61388
1280,2024-10-20 00:00:00,10376680491.48063
1281,2024-10-21 00:00:00,10688110050.89768
1282,2024-10-22 00:00:00,10593752787.57116
1283,2024-10-23 00:00:00,10569707647.46594
1284,2024-10-24 00:00:00,10197338344.81456
1285,2024-10-25 00:00:00,10387572730.43587
1286,2024-10-26 00:00:00,10180441919.95456
1287,2024-10-27 00:00:00,10384519752.54287
1288,2024-10-28 00:00:00,10520619708.75407
1289,2024-10-29 00:00:00,10718079210.7659
1290,2024-10-30 00:00:00,10946720340.68808
1291,2024-10-31 00:00:00,11157027380.24217
1292,2024-11-01 00:00:00,10694707714.81256
1293,2024-11-02 00:00:00,10736315386.15378
1294,2024-11-03 00:00:00,10711623970.43543
1295,2024-11-04 00:00:00,10781602289.76972
1296,2024-11-05 00:00:00,10551956076.6749
1297,2024-11-06 00:00:00,10734015446.67894
1298,2024-11-07 00:00:00,11879422869.00318
1299,2024-11-08 00:00:00,12298217752.74298
1300,2024-11-09 00:00:00,12582501827.01514
1301,2024-11-10 00:00:00,13088636310.1934
1302,2024-11-11 00:00:00,13494408906.2139
1303,2024-11-12 00:00:00,14176050817.24427
1304,2024-11-13 00:00:00,13980992750.8884
1305,2024-11-14 00:00:00,13957381623.86704
1306,2024-11-15 00:00:00,13588751172.20857
1307,2024-11-16 00:00:00,13778759108.33357
1308,2024-11-17 00:00:00,13979822440.92632
1309,2024-11-18 00:00:00,13748452020.12322
1310,2024-11-19 00:00:00,14166453467.25439
1311,2024-11-20 00:00:00,13995314106.49824
1312,2024-11-21 00:00:00,13948509044.29148
1313,2024-11-22 00:00:00,15214844186.89088
1314,2024-11-23 00:00:00,15224321341.64765
1315,2024-11-24 00:00:00,15584241984.64014
1316,2024-11-25 00:00:00,15528780590.33254
1317,2024-11-26 00:00:00,15340016458.25113
1318,2024-11-27 00:00:00,15125848622.46627
1319,2024-11-28 00:00:00,16296573913.02411
1320,2024-11-29 00:00:00,16078189110.37753
1321,2024-11-30 00:00:00,16396345057.51584
1322,2024-12-01 00:00:00,16735378295.69314
1323,2024-12-02 00:00:00,16852435397.62926
1324,2024-12-03 00:00:00,16609238182.51436
1325,2024-12-04 00:00:00,16638930486.45219
1326,2024-12-05 00:00:00,17334711185.0962
1327,2024-12-06 00:00:00,17187251327.8631
1328,2024-12-07 00:00:00,18165566704.67583
1329,2024-12-08 00:00:00,18328243546.58924
1330,2024-12-09 00:00:00,18401669199.93229
1331,2024-12-10 00:00:00,17395134128.77571
1332,2024-12-11 00:00:00,17208889322.30696
1333,2024-12-12 00:00:00,18089792215.98791
1334,2024-12-13 00:00:00,18109446686.5354
1335,2024-12-14 00:00:00,18422179369.27664
1336,2024-12-15 00:00:00,18430067517.86813
1337,2024-12-16 00:00:00,18488001659.44706
1338,2024-12-17 00:00:00,19184053428.25058
1339,2024-12-18 00:00:00,18743846036.2621
1340,2024-12-19 00:00:00,17427345098.89815
1341,2024-12-20 00:00:00,16794725814.56151
1342,2024-12-21 00:00:00,16765788747.32534
1343,2024-12-22 00:00:00,16431868164.32956
1344,2024-12-23 00:00:00,16236927000.67036
1345,2024-12-24 00:00:00,16806864104.68957
1346,2024-12-25 00:00:00,17487365590.38822
1347,2024-12-26 00:00:00,17479563141.4079
1348,2024-12-27 00:00:00,16978037446.13829
1349,2024-12-28 00:00:00,16893515621.87151
1350,2024-12-29 00:00:00,17280337642.5964
1351,2024-12-30 00:00:00,17218624957.27127
1352,2024-12-31 00:00:00,17029045422.67061
1353,2025-01-01 00:00:00,17067466199.66048
1354,2025-01-02 00:00:00,17433529925.3347
1355,2025-01-03 00:00:00,17675661024.58472
1356,2025-01-04 00:00:00,17953116503.21636
1357,2025-01-05 00:00:00,18148760847.55516
1358,2025-01-06 00:00:00,18222059228.64749
1359,2025-01-07 00:00:00,18439814452.66656
1360,2025-01-08 00:00:00,16826674300.05342
1361,2025-01-09 00:00:00,16756085986.64031
1362,2025-01-10 00:00:00,16467092155.36804
1363,2025-01-11 00:00:00,16994567339.33059
1364,2025-01-12 00:00:00,17169918240.26404
1365,2025-01-13 00:00:00,17363046682.24255
1366,2025-01-14 00:00:00,17035657348.27061
1367,2025-01-15 00:00:00,17525004608.46087
1368,2025-01-16 00:00:00,18367450393.79417
1369,2025-01-17 00:00:00,17825920595.66943
1370,2025-01-18 00:00:00,18513993378.09545
1371,2025-01-19 00:00:00,17992742370.59556
1372,2025-01-20 00:00:00,17614160668.73193
1373,2025-01-21 00:00:00,17927698357.94245
1374,2025-01-22 00:00:00,18171439304.29611
1375,2025-01-23 00:00:00,17901901332.01254
1376,2025-01-24 00:00:00,18087463018.98934
1377,2025-01-25 00:00:00,18287878027.50855
1378,2025-01-26 00:00:00,18405671428.3855
1379,2025-01-27 00:00:00,18207299598.21713
1380,2025-01-28 00:00:00,17476282634.94958
1381,2025-01-29 00:00:00,17549513683.57563
1382,2025-01-30 00:00:00,17792511407.05491
1383,2025-01-31 00:00:00,18363933303.92849
1384,2025-02-01 00:00:00,18518974038.41948
1385,2025-02-02 00:00:00,17771087781.9807
1386,2025-02-03 00:00:00,16454977397.2323
1387,2025-02-04 00:00:00,17077714497.05683
1388,2025-02-05 00:00:00,16527533187.08007
