,month,wallet_address,eth_balance,tx_count
666,2025-03,0x00000000000947821264914ad2c75f871aa2d026,5.306701,441
667,2025-04,0x00000000000947821264914ad2c75f871aa2d026,5.306625,292
675,2025-01,0x00000000000a0b40b4d032f76ce7f7ebc27f8d55,-2.98,93
676,2025-02,0x00000000000a0b40b4d032f76ce7f7ebc27f8d55,-12.23,172
677,2025-03,0x00000000000a0b40b4d032f76ce7f7ebc27f8d55,-20.529873,152
678,2025-04,0x00000000000a0b40b4d032f76ce7f7ebc27f8d55,-38.819426,348
1192,2024-04,0x0000000000ea39366718bfc07b48016b2c12f939,-0.1,2
1193,2024-05,0x0000000000ea39366718bfc07b48016b2c12f939,-0.6,2
1194,2024-06,0x0000000000ea39366718bfc07b48016b2c12f939,-2.116,5
1195,2024-07,0x0000000000ea39366718bfc07b48016b2c12f939,-3.166,3
1196,2024-08,0x0000000000ea39366718bfc07b48016b2c12f939,-4.796,2
1197,2024-09,0x0000000000ea39366718bfc07b48016b2c12f939,-6.032,3
1198,2024-10,0x0000000000ea39366718bfc07b48016b2c12f939,-7.552,2
1199,2024-11,0x0000000000ea39366718bfc07b48016b2c12f939,-8.442,2
1200,2024-12,0x0000000000ea39366718bfc07b48016b2c12f939,-13.662,11
1201,2025-01,0x0000000000ea39366718bfc07b48016b2c12f939,-15.467,6
1202,2025-02,0x0000000000ea39366718bfc07b48016b2c12f939,-17.392,5
1203,2025-03,0x0000000000ea39366718bfc07b48016b2c12f939,-22.442,12
1204,2025-04,0x0000000000ea39366718bfc07b48016b2c12f939,-30.332,14
3537,2024-04,0x00000027f490acee7f11ab5fdd47209d6422c5a7,-0.000287,2650
3538,2024-05,0x00000027f490acee7f11ab5fdd47209d6422c5a7,-0.000413,1851
3539,2024-06,0x00000027f490acee7f11ab5fdd47209d6422c5a7,-0.000463,846
3540,2024-07,0x00000027f490acee7f11ab5fdd47209d6422c5a7,-8.855548,1
3541,2024-11,0x00000027f490acee7f11ab5fdd47209d6422c5a7,-7.846527,4
3542,2024-12,0x00000027f490acee7f11ab5fdd47209d6422c5a7,-7.846532,16
3543,2025-01,0x00000027f490acee7f11ab5fdd47209d6422c5a7,-7.846536,15
3544,2025-02,0x00000027f490acee7f11ab5fdd47209d6422c5a7,-7.846538,7
3545,2025-03,0x00000027f490acee7f11ab5fdd47209d6422c5a7,-7.846541,9
3546,2025-04,0x00000027f490acee7f11ab5fdd47209d6422c5a7,-7.846546,18
4081,2024-05,0x000000629fbcf27a347d1aeba658435230d74a5f,0.0,0
4082,2024-06,0x000000629fbcf27a347d1aeba658435230d74a5f,5e-05,1
4083,2024-07,0x000000629fbcf27a347d1aeba658435230d74a5f,15.00005,1
