,FROM_ADDRESS,value_sum_DeFi,value_sum_Governance,value_sum_Infrastructure,value_sum_Other,value_sum_Rewards,value_sum_Utility,gas_used_sum_DeFi,gas_used_sum_Governance,gas_used_sum_Infrastructure,gas_used_sum_Other,gas_used_sum_Rewards,gas_used_sum_Utility,avg_gas_per_tx_DeFi,avg_gas_per_tx_Governance,avg_gas_per_tx_Infrastructure,avg_gas_per_tx_Other,avg_gas_per_tx_Rewards,avg_gas_per_tx_Utility,gas_efficiency_DeFi,gas_efficiency_Governance,gas_efficiency_Infrastructure,gas_efficiency_Other,gas_efficiency_Rewards,gas_efficiency_Utility,category_diversity,dominant_category_encoded
3695,0x3c2ef6421ff467a6955b3229a5d7b81c0843c7f1,0.0,0.0,0.0,0.0,0.0,0.0,58409.0,0.0,0.0,0.0,0.0,0.0,58409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3696,0x3c301ba0acc5212444b7281067fae6f761b40fc3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75671.0,0.0,0.0,0.0,0.0,0.0,75671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4
3697,0x3c338391c3d65f316a4150895a2ae8a766d47526,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.0,376654.0,0.0,0.0,0.0,0.0,0.0,188327.0,0.0,0.0,0.0,0.0,0.0,2.0644613435602177e-07,0.0,0.0,0.0,1,2
3698,0x3c3a3e9008ec127dd11dffe265bc3fb1464cc256,0.0,0.0,0.0,0.0,0.0,0.0,2510.0,0.0,0.0,0.0,0.0,0.0,2510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3699,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,0.0,0.0,0.0,0.0,0.0,0.0,53830.0,0.0,0.0,0.0,0.0,0.0,26915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3700,0x3c3e72e1467dc21507749586189296d6bb73657d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2229.0,0.0,0.0,0.0,0.0,0.0,2229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
3701,0x3c40bf170870b0632e969674dd4a1cc4de25c99b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201739.0,0.0,0.0,0.0,0.0,0.0,201739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4
3702,0x3c442bab170f19dd40d0b1a405c9d93b088b9332,0.0,0.0,0.0,0.0,0.0,0.0,691.0,0.0,0.0,0.0,0.0,0.0,691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3703,0x3c45a2d503e7345a0e549f76cf8a4efe650f7e40,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,206784.0,0.0,0.0,0.0,0.0,0.0,206784.0,0.0,0.0,0.0,0.0,0.0,9.67192819560503e-07,0.0,0.0,1,3
3704,0x3c45f66535753c2f1390bf982816042b7b0acd86,0.0,0.0,0.0,0.0,0.0,0.0,28585.0,0.0,0.0,0.0,0.0,0.0,5717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3705,0x3c4ad65f5b4884397e1f09596c7ac7f8f95b3ff3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147959.0,0.0,0.0,0.0,0.0,0.0,147959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
3706,0x3c571e3d3be1c50e35453bb46c628100822a8195,0.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3707,0x3c5883c650d600bd543a9b5c8d9a3a6f5d16b8f4,0.0,0.0,0.0,0.0,0.0,0.0,34493.0,0.0,0.0,0.0,0.0,0.0,34493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3708,0x3c5da46d885c558e675601b83716f3dddabc1565,0.0,0.0,0.0,0.0,0.0,0.0,1091.0,0.0,0.0,0.0,0.0,0.0,545.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3709,0x3c612ee5936e583c837aca99307a71307b218408,0.0,0.0,0.0,0.0,0.0,0.0,33199.0,0.0,0.0,0.0,0.0,0.0,16599.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3710,0x3c65c137bf380df7f5f61d9318c193b32a344fb0,0.0,0.0,0.0,0.0,0.0,0.0,57472.0,0.0,0.0,0.0,0.0,0.0,57472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3711,0x3c6808f47f4d35351dcbe6333462b9ec65d3939b,0.0,0.0,0.382,0.0,0.0,0.0,0.0,0.0,177916.0,0.0,0.0,0.0,0.0,0.0,177916.0,0.0,0.0,0.0,0.0,0.0,2.147080644798657e-06,0.0,0.0,0.0,1,2
3712,0x3c68dfc45dc92c9c605d92b49858073e10b857a6,0.0,0.0,0.0,0.0,0.0,0.0,8575.0,0.0,0.0,105774.0,0.0,0.0,1715.0,0.0,0.0,21154.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0
3713,0x3c6b93d38ffa15ea995d1bc950d5d0fa6b22bd05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4921.0,0.0,0.0,0.0,0.0,0.0,4921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
3714,0x3c70f4faea49e50adc8305f2e1aa0ea326a54ffc,0.0,0.0,0.0,0.0,0.0,0.0,43358.0,0.0,0.0,0.0,0.0,0.0,21679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3715,0x3c7230039d70cf92cc8608af202dbf9b0870a0a6,0.0,0.0,0.0,0.0,0.0,0.0,47029.0,0.0,0.0,0.0,0.0,0.0,47029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3716,0x3c7340f6a33b41de43de25151fd0ec36a3f846ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23617.0,0.0,0.0,0.0,0.0,0.0,23617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
3717,0x3c7743e50757d98fa9e28125f96eeda63cd09673,0.0,0.0,0.0,0.0,0.0,0.0,1068.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
