,FROM_ADDRESS,TOP_PROFILE,TOP_PROFILE_SCORE
130,0x07b1014c88f14c9e910092526db57a20052e989f,Dex Trader,0
131,0x07b45a314a3119eb287f2ec2c82d8c2077463506,Dex Trader,76
132,0x07b96cf1183c9bff2e43acf0e547a8c4e4429473,Dex Trader,0
133,0x07e6f2239d6fbe2ce00747fcfb8344ebbf973bcc,Dex Trader,1
134,0x07f9e599f57e8896863e939f4f388fd539f7054f,Dex Trader,14
135,0x07fcabcbe4ff0d80c2b1eb42855c0131b6cba2f4,Dex Trader,0
136,0x080f378c8d7bc73947c4524f91ad3f91cb415842,Dex Trader,59
137,0x081d1101855bd523ba69a9794e0217f0db6323ff,Dex Trader,0
138,0x0842661e4d34364c9d9023de581146ddecf1d2d9,Dex Trader,0
139,0x0878f3458580e8b723f1141122e2bb691472b6c6,Dex Trader,42
140,0x088276d10561d8260de2afc2e06462ec95a17477,Dex Trader,109
141,0x088ad15e1a5e7b875a56728b90ecf4e6cd901bdf,Dex Trader,27
142,0x088f914587f7d7aad8760015dd9adf35603b5b0c,Dex Trader,76
143,0x08abe5cb562c2d14384624c23726d775bfe13988,Dex Trader,33
144,0x08b067ad41e45babe5bbb52fc2fe7f692f628b06,Yield Farmer,50
145,0x08c181a583dd5e0be2eea021747f3a663eabb976,Dex Trader,19
146,0x08c62b03f60fa629e22b6a48ae624642cb05a1af,Dex Trader,61
147,0x08ca99d76a2064fd43ed1c1e97470a35ae276538,Dex Trader,248
148,0x08da499100b1d133549b6d94cd8ea8234a56e294,Dex Trader,13
149,0x09117bff68b5939319e61b226bf1f3f5f985eba1,Dex Trader,39
150,0x091261f027b50a05a78755c8d150002989f39ffb,Dex Trader,30
151,0x09134c643a6b95d342bdaf081fa473338f066572,Yield Farmer,1
152,0x09350f89e2d7b6e96ba730783c2d76137b045fef,Dex Trader,81
153,0x093f6c270ac22ec240f0c6fd7414ea774ca8d3e5,Protocol Dev,47
154,0x0981af0c002345c9c5ad5efd26242d0cbe5aca99,Oracle User,33
155,0x09848d115e085942e6fa9d85b6b6c73fb0e63cb1,Dex Trader,26
156,0x099ed5af814d7ec29210d501cb42112b3e970bbd,Dex Trader,28
157,0x09b97f6b36b3997612357cd4457b272ff09313c3,Dex Trader,21
158,0x09c1ce2bb27c50c593452076f872fa87971b9776,Nft Collector,20
159,0x09d1d767edf8fa23a64c51fa559e0688e526812f,Dex Trader,167
160,0x09fbce43e4021a3f69c4599ff00362b83eda501e,Dex Trader,0
161,0x09fe5f0236f0ea5d930197dce254d77b04128075,Nft Collector,26
162,0x0a252663dbcc0b073063d6420a40319e438cfa59,Staker Validator,4329
163,0x0a32372381ea32a441d46553f879e4de7027b011,Dex Trader,15
164,0x0a35142342ac2cb0587f5585b6cf55421163ca70,Dex Trader,14
165,0x0a55882f4e1117adc54afbbac4a39079ad52fb89,Dex Trader,57
166,0x0a584879f44bc2a1dcc17c285f9a15f4c4fef0d3,Dex Trader,13
167,0x0a5a7d65f600a0b365855ff6abca1426d57cdb87,Dex Trader,40
168,0x0a992d191deec32afe36203ad87d7d289a738f81,Dex Trader,0
169,0x0a9f0ebc91bda0c407e547bea81746a7ed640c04,Dex Trader,8
170,0x0aa0f6308214bf53f6eaefcd56a2bf4482ec4b34,Dex Trader,3
171,0x0aaf300e148378489a8a471dd3e9e53e30cb42e3,Oracle User,6
172,0x0afd65ec6b286d353c42268738d66bbf56ba9de5,Dex Trader,51
173,0x0b07188b12e3bba6a680e553e23c4079e98a034b,Dex Trader,40
174,0x0b1981a9fcc24a445de15141390d3e46da0e425c,Yield Farmer,1
175,0x0b1d8faff1fe1ead5ab05729b0739d758ed26024,Dex Trader,29
176,0x0b2659734121feb636534213a159ac91691edbde,Yield Farmer,10
177,0x0b2b99d9fa762060fdbf1657984f7ece56ca5e5c,Dex Trader,54
178,0x0b35d20c9b45f1312f408768bee75150b2b8a80e,Dex Trader,0
179,0x0b5c4a7fcda49e0a8661419bb55b86161a86db2a,Dex Trader,103
180,0x0b642a2f5749b2c815832d2521a1d4ff4a9a2129,Dex Trader,19
181,0x0b85b3000bef3e26e01428d1b525a532ea7513b8,Dex Trader,110
182,0x0b8a49d816cc709b6eadb09498030ae3416b66dc,Dex Trader,150
183,0x0b9b78ec37c3d4219b5df9145b952f96c61c3dcd,Dex Trader,3
184,0x0baac79acd45a023e19345c352d8a7a83c4e5656,Dex Trader,0
185,0x0bba5c71f9a3606201c3368bf04af75d436f244e,Dex Trader,29
186,0x0bdcde6854f64a1144192b2e2bb4c995b50cd849,Dex Trader,36
187,0x0bee64a7c035fa2f69b9a6cad5d761de038ecb02,Dex Trader,51
188,0x0c30062368eefb96bf3ade1218e685306b8e89fa,Dex Trader,99
189,0x0c3fdf9c70835f9be9db9585ecb6a1ee3f20a6c7,Dex Trader,669
190,0x0c5911d57b24fcf1dc8b2608efbae57c7098e32d,Dex Trader,0
191,0x0c6cd3c153642b356edd313d2ea57727bbfb336e,Dex Trader,55
192,0x0cb3a2e6419eaf94c5bb4609cfe9271b93afb311,Dex Trader,15
193,0x0cb75e625363caa4506214bf61e076a6a6b72a7f,Dex Trader,27
194,0x0cc36866732b899882b4880625a04427e02b9a19,Dex Trader,29
195,0x0d017afa83eace9f10a8ec5b6e13941664a6785c,Dex Trader,32
196,0x0d02755a5700414b26ff040e1de35d337df56218,Dex Trader,51
197,0x0d06c6c1a04ebd746d8965beee156a406eae5b4a,Dex Trader,23
198,0x0d0707963952f2fba59dd06f2b425ace40b492fe,Dex Trader,2004
199,0x0d0bb71a3c473cf754203d7d0e2e67a684bebedc,Dex Trader,1249
