,MONTH,FROM_ADDRESS,TOP_PROFILE,WALLET_GAS_USED,CATEGORY_GAS_MEAN
24,2024-12,0x0000000000001ff3684f28c67538d4d072c22734,Dex Trader,42988762.0,972674.6920654912
25,2024-03,0x000000000000c9b3e2c3ec88b1b4c0cd853f4321,Dex Trader,1055222.0,1503431.386091127
26,2024-04,0x000000000000c9b3e2c3ec88b1b4c0cd853f4321,Dex Trader,886639.0,1299666.0298393266
27,2024-05,0x000000000000c9b3e2c3ec88b1b4c0cd853f4321,Dex Trader,1703936.0,1270290.5371024734
28,2024-06,0x000000000000c9b3e2c3ec88b1b4c0cd853f4321,Dex Trader,1049179.0,1217951.3801369863
29,2024-07,0x000000000000c9b3e2c3ec88b1b4c0cd853f4321,Dex Trader,2976794.0,1015531.5816910362
30,2024-08,0x000000000000c9b3e2c3ec88b1b4c0cd853f4321,Dex Trader,586755.0,1154777.3007270324
31,2024-09,0x000000000000c9b3e2c3ec88b1b4c0cd853f4321,Dex Trader,896497.0,1000618.3312616532
32,2024-10,0x000000000000c9b3e2c3ec88b1b4c0cd853f4321,Dex Trader,107482.0,987277.7902140673
33,2024-11,0x000000000000c9b3e2c3ec88b1b4c0cd853f4321,Dex Trader,1652830.0,983223.5868772783
34,2024-12,0x000000000000c9b3e2c3ec88b1b4c0cd853f4321,Dex Trader,2578969.0,972674.6920654912
35,2024-12,0x000000000000f10286d9c1c5d4635a25070572b6,Nft Collector,2162692.0,673019.8965517242
36,2024-03,0x000000000000fea5f4b241f9e77b4d43b76798a9,Dex Trader,9195.0,1503431.386091127
37,2024-05,0x000000000000fea5f4b241f9e77b4d43b76798a9,Dex Trader,265087.0,1270290.5371024734
38,2024-07,0x000000000000fea5f4b241f9e77b4d43b76798a9,Dex Trader,399109.0,1015531.5816910362
39,2024-08,0x000000000000fea5f4b241f9e77b4d43b76798a9,Dex Trader,278088.0,1154777.3007270324
40,2024-03,0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,Dex Trader,42294.0,1503431.386091127
41,2024-04,0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,Dex Trader,4452.0,1299666.0298393266
42,2024-05,0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,Dex Trader,4452.0,1270290.5371024734
43,2024-08,0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,Dex Trader,20988.0,1154777.3007270324
44,2024-02,0x00000000000e1a99dddd5610111884278bdbda1d,Dex Trader,260076.0,2041684.0383244206
45,2024-03,0x00000000000e1a99dddd5610111884278bdbda1d,Dex Trader,72633.0,1503431.386091127
46,2024-04,0x00000000000e1a99dddd5610111884278bdbda1d,Dex Trader,86641.0,1299666.0298393266
47,2024-05,0x00000000000e1a99dddd5610111884278bdbda1d,Dex Trader,9980.0,1270290.5371024734
48,2024-06,0x00000000000e1a99dddd5610111884278bdbda1d,Dex Trader,7984.0,1217951.3801369863
49,2024-01,0x000000000022d473030f116ddee9f6b43ac78ba3,Dex Trader,35035364.0,2062296.0926605505
50,2024-02,0x000000000022d473030f116ddee9f6b43ac78ba3,Dex Trader,52353257.0,2041684.0383244206
51,2024-03,0x000000000022d473030f116ddee9f6b43ac78ba3,Dex Trader,45574736.0,1503431.386091127
52,2024-04,0x000000000022d473030f116ddee9f6b43ac78ba3,Dex Trader,25749639.0,1299666.0298393266
