,MONTH,FROM_ADDRESS,TOP_PROFILE,WALLET_TOTAL_VALUE,CATEGORY_VALUE_MEAN
40,2024-03,0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,Dex Trader,0.0,5.849710497500981
41,2024-04,0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,Dex Trader,0.0,1.9606889731787303
42,2024-05,0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,Dex Trader,0.0,2.3484354944829144
43,2024-08,0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,Dex Trader,0.0,0.9840019601490381
44,2024-02,0x00000000000e1a99dddd5610111884278bdbda1d,Dex Trader,0.6,6.513294960378756
45,2024-03,0x00000000000e1a99dddd5610111884278bdbda1d,Dex Trader,0.33,5.849710497500981
46,2024-04,0x00000000000e1a99dddd5610111884278bdbda1d,Dex Trader,0.41000000000000003,1.9606889731787303
47,2024-05,0x00000000000e1a99dddd5610111884278bdbda1d,Dex Trader,0.05,2.3484354944829144
48,2024-06,0x00000000000e1a99dddd5610111884278bdbda1d,Dex Trader,0.04,1.8698409128650508
49,2024-01,0x000000000022d473030f116ddee9f6b43ac78ba3,Dex Trader,0.0,3.983544831014597
50,2024-02,0x000000000022d473030f116ddee9f6b43ac78ba3,Dex Trader,0.0,6.513294960378756
51,2024-03,0x000000000022d473030f116ddee9f6b43ac78ba3,Dex Trader,0.0,5.849710497500981
52,2024-04,0x000000000022d473030f116ddee9f6b43ac78ba3,Dex Trader,0.0,1.9606889731787303
53,2024-05,0x000000000022d473030f116ddee9f6b43ac78ba3,Dex Trader,0.0,2.3484354944829144
54,2024-06,0x000000000022d473030f116ddee9f6b43ac78ba3,Dex Trader,0.0,1.8698409128650508
55,2024-07,0x000000000022d473030f116ddee9f6b43ac78ba3,Dex Trader,0.0,6.511754067159507
56,2024-08,0x000000000022d473030f116ddee9f6b43ac78ba3,Dex Trader,0.0,0.9840019601490381
57,2024-09,0x000000000022d473030f116ddee9f6b43ac78ba3,Dex Trader,0.0,2.0043089114011567
58,2024-10,0x000000000022d473030f116ddee9f6b43ac78ba3,Dex Trader,0.0,2.1224521396158402
59,2024-11,0x000000000022d473030f116ddee9f6b43ac78ba3,Dex Trader,0.0,4.3477144816659985
60,2024-12,0x000000000022d473030f116ddee9f6b43ac78ba3,Dex Trader,0.0,4.961583011373187
61,2024-01,0x00000000005bbb0ef59571e58418f9a4357b68a0,Dex Trader,40.865,3.983544831014597
62,2024-02,0x00000000005bbb0ef59571e58418f9a4357b68a0,Dex Trader,47.1987716988,6.513294960378756
63,2024-03,0x00000000005bbb0ef59571e58418f9a4357b68a0,Dex Trader,726.5671557598,5.849710497500981
64,2024-04,0x00000000005bbb0ef59571e58418f9a4357b68a0,Dex Trader,37.81351289707,1.9606889731787303
65,2024-05,0x00000000005bbb0ef59571e58418f9a4357b68a0,Dex Trader,0.001,2.3484354944829144
66,2024-06,0x00000000005bbb0ef59571e58418f9a4357b68a0,Dex Trader,48.0,1.8698409128650508
67,2024-07,0x00000000005bbb0ef59571e58418f9a4357b68a0,Dex Trader,0.0,6.511754067159507
68,2024-08,0x00000000005bbb0ef59571e58418f9a4357b68a0,Dex Trader,0.0,0.9840019601490381
69,2024-10,0x00000000005bbb0ef59571e58418f9a4357b68a0,Dex Trader,0.0,2.1224521396158402
70,2024-01,0x00000000009726632680fb29d3f7a9734e3010e2,Dex Trader,0.27961874022,3.983544831014597
71,2024-02,0x00000000009726632680fb29d3f7a9734e3010e2,Dex Trader,1.8147186231999997,6.513294960378756
72,2024-03,0x00000000009726632680fb29d3f7a9734e3010e2,Dex Trader,0.069405,5.849710497500981
73,2024-04,0x00000000009726632680fb29d3f7a9734e3010e2,Dex Trader,0.0,1.9606889731787303
74,2024-05,0x00000000009726632680fb29d3f7a9734e3010e2,Dex Trader,0.0,2.3484354944829144
75,2024-06,0x00000000009726632680fb29d3f7a9734e3010e2,Dex Trader,0.0,1.8698409128650508
76,2024-07,0x00000000009726632680fb29d3f7a9734e3010e2,Dex Trader,0.0666288,6.511754067159507
77,2024-08,0x00000000009726632680fb29d3f7a9734e3010e2,Dex Trader,0.0,0.9840019601490381
78,2024-09,0x00000000009726632680fb29d3f7a9734e3010e2,Dex Trader,0.446175,2.0043089114011567
79,2024-10,0x00000000009726632680fb29d3f7a9734e3010e2,Dex Trader,2.2147481331599996,2.1224521396158402
80,2024-11,0x00000000009726632680fb29d3f7a9734e3010e2,Dex Trader,0.12966882443,4.3477144816659985
81,2024-12,0x00000000009726632680fb29d3f7a9734e3010e2,Dex Trader,0.018840483,4.961583011373187
82,2024-01,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,Dex Trader,0.0,3.983544831014597
83,2024-02,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,Dex Trader,0.0,6.513294960378756
84,2024-03,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,Dex Trader,0.0,5.849710497500981
85,2024-04,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,Dex Trader,0.0,1.9606889731787303
86,2024-05,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,Dex Trader,0.1430293817,2.3484354944829144
87,2024-06,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,Dex Trader,0.0,1.8698409128650508
88,2024-07,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,Dex Trader,16.76601668299,6.511754067159507
89,2024-08,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,Dex Trader,0.1196999998,0.9840019601490381
90,2024-09,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,Dex Trader,14.090899997,2.0043089114011567
91,2024-10,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,Dex Trader,7.884899999,2.1224521396158402
92,2024-11,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,Dex Trader,0.306821876917,4.3477144816659985
93,2024-12,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,Dex Trader,85.294799977,4.961583011373187
94,2024-01,0x0000000000a39bb272e79075ade125fd351887ac,Yield Farmer,60.2929597335,16.166658514777797
95,2024-02,0x0000000000a39bb272e79075ade125fd351887ac,Yield Farmer,36.752500000000005,114.21237804856935
96,2024-03,0x0000000000a39bb272e79075ade125fd351887ac,Yield Farmer,22.06901898027704,149.6396391702263
