,FROM_ADDRESS,function_count_30d_bin,value_sent_bin,contract_diversity_7d_bin,gas_used_7d_bin,tx_per_day_bin,first_last_bin,tx_count_30d_bin_binary,cluster_jaccard
7271,0x43ddc65802ed259f8690e2d969d3254314bff1ca,0,none_or_zero,very_low,high,high,very_short,1,1
7272,0x43ddf2ace526c99e12896ce02a091be3999ddac2,0,none_or_zero,low,very_low,high,very_short,1,4
7273,0x43de1a62d6a7844718172260abfdcf7ec83b59bc,0,none_or_zero,very_low,medium,high,very_short,1,2
7274,0x43de2d77bf8027e25dbd179b491e8d64f38398aa,1,low,low,medium,very_high,,1,5
7275,0x43de4318b6eb91a7cf37975dbb574396a7b5b5c6,1,none_or_zero,low,low,high,,1,6
7276,0x43dfd184b4d84bbecb83969841f6366a6c2217d7,0,none_or_zero,low,very_low,high,very_short,1,4
7277,0x43dfe9bb69ac26dd45998ae895cc042b858686c0,0,none_or_zero,very_low,medium,high,very_short,1,2
7278,0x43e54c2e7b3e294de3a155785f52ab49d87b9922,0,none_or_zero,low,very_low,high,,1,4
7279,0x43e7ade137b86798654d8e78c36d5a556a647224,1,none_or_zero,medium,low,very_high,,1,5
7280,0x43ea65969550d0f3a0a9383fc4cd909f6cbf57a3,0,none_or_zero,low,very_low,high,very_short,1,4
7281,0x43ece21c67d0908afe83608860bc70a5bc0b105e,0,none_or_zero,very_low,very_low,high,very_short,1,3
7282,0x43ed25ae0f37da80495b775c9a3c37dbeb4a6014,1,none_or_zero,low,high,high,very_short,1,6
7283,0x43edabe18a4b3c11d03a14afa7cfd94ccb74a4a4,0,none_or_zero,low,very_low,high,very_short,1,4
7284,0x43edb88c4b80fdd2adff2412a7bebf9df42cb40e,1,moderate,very_low,high,high,,1,3
7285,0x43ee0243ea8cf02f7087d8b16c8d2007cc9c7ca2,0,none_or_zero,low,very_low,high,,1,4
7286,0x43ee35d5542f5b826fa92832bd97caff153675a8,1,none_or_zero,low,medium,high,,1,6
7287,0x43efe8ff75828cbb523e88d49f5b2429b27c83ca,0,none_or_zero,very_low,medium,high,very_short,1,2
7288,0x43f21e7461060748ea9a24dc0cac39af58efb167,0,none_or_zero,low,very_low,high,very_short,1,4
7289,0x43f2debb510065069f0a1bff2034fbe2be1554cf,1,moderate,low,high,high,very_short,1,6
7290,0x43f3ae82b231a51158b161964e1bfab0b2b26bdb,0,low,low,very_low,high,very_short,1,4
7291,0x43fc3e1372c78e58c688cb4267abb0537fdbaeab,0,none_or_zero,very_low,medium,high,very_short,1,2
7292,0x43fe2dfde3f1d03bbac85e903d7c490b53c6012f,1,none_or_zero,low,very_low,high,very_short,1,6
7293,0x43fed72b921af413aad831cebd221697b18da54f,0,none_or_zero,low,very_low,high,,1,4
7294,0x43ff7cf0b9b989dd2b5a82c4f4737675c72c8f6a,0,moderate,very_low,high,high,very_short,1,1
7295,0x440222b9ec6f3150a8711cc817e8c88711d82151,0,none_or_zero,low,very_low,high,,1,4
7296,0x44042a4bf9057ae5aa6865b2a437f4b4926545f4,1,tiny,low,very_low,high,very_short,1,6
7297,0x4405c0b330db66dffc40c8bcc616e447505af0f8,0,none_or_zero,low,very_low,high,,1,4
7298,0x44087e105137a5095c008aab6a6530182821f2f0,0,none_or_zero,very_low,very_low,high,,1,3
